Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
155,"team171 湖南师范大学",6,09:37:09,"01:16:32 (-1)",,03:32:39,,,"00:43:13 (-1)","00:21:32 (-1)",,,00:29:15,02:13:58,
156,"team878 复旦大学",6,09:39:17,"01:22:44 (-1)",,"03:11:49 (-1)",,,01:08:37,"00:31:43 (-1)",(-2),,00:16:42,02:07:42,(-3)
157,"team255 成都理工大学",6,09:41:18,"00:55:48 (-2)",,03:24:05,,,01:14:23,00:11:19,(-2),(-2),"00:23:41 (-1)",02:32:02,
158,"team680 南京大学",6,09:44:46,"01:32:48 (-5)",,03:02:34,,,00:40:35,"00:30:02 (-3)",(-4),,00:12:06,01:06:41,
159,"team511 浙江科技大学",6,09:49:49,"01:14:09 (-1)",,"03:46:43 (-1)",,,"01:00:01 (-1)","00:22:37 (-2)",,,00:08:55,01:37:24,
160,"team856 华中科技大学",6,09:50:55,"00:54:45 (-2)",,(-2),,,01:13:32,"00:38:26 (-2)","02:06:56 (-2)",,"00:38:09 (-1)",01:59:07,
161,"team501 南京航空航天大学",6,09:51:40,01:11:51,,,,,00:42:42,"00:29:37 (-4)","03:12:48 (-3)",,00:19:54,01:34:48,
162,"team091 长沙理工大学",6,09:53:12,01:10:35,,"03:34:58 (-2)",,,"00:35:34 (-1)","00:30:39 (-3)",,,00:17:26,01:44:00,(-2)
163,"team672 南京大学",6,09:53:42,01:15:18,,"03:36:15 (-3)",,,00:41:38,00:14:42,,,00:28:02,"01:57:47 (-2)",
164,"team775 西安交通大学",6,09:55:37,"01:33:32 (-2)",,(-2),,,00:30:45,"00:13:08 (-1)","04:00:11 (-1)",,"00:19:03 (-1)","00:58:58 (-2)",(-1)
165,"team212 浙江理工大学",6,10:01:20,01:35:43,,02:23:09,,,01:14:52,"00:32:40 (-2)",,,00:14:30,"02:20:26 (-3)",(-1)
166,"team874 复旦大学",6,10:06:45,"02:29:51 (-2)",,,,,01:10:16,00:15:51,02:25:28,,"00:29:27 (-1)","01:55:52 (-1)",
167,"team275 浙江工商大学",6,10:24:24,"02:45:57 (-2)",,03:22:40,,,00:46:11,00:12:33,,,"00:09:01 (-1)","01:28:02 (-2)",(-1)
168,"team903 北京大学",6,10:28:27,01:21:47,,"04:02:48 (-4)",,,00:33:00,"00:17:43 (-2)",,,00:23:39,"01:09:30 (-2)",
169,"team153 清华大学附属中学",6,10:30:16,02:00:42,,04:06:23,,,00:46:24,"00:52:44 (-1)",,,00:25:51,"01:38:12 (-1)",
170,"team990 山东大学",6,10:34:23,"00:46:03 (-2)",03:58:58,,,,00:44:45,"00:23:55 (-2)",,,00:14:11,"02:06:31 (-3)",
171,"team160 山东理工大学",6,10:35:35,"01:35:23 (-2)",,(-4),,,00:44:43,"00:19:46 (-1)","03:51:04 (-6)",,00:13:45,00:50:54,(-1)
172,"team450 西安电子科技大学",6,10:56:36,01:43:47,,02:34:09,,,"01:00:23 (-1)","00:51:59 (-4)",(-1),,00:15:30,02:50:48,
173,"team873 复旦大学",6,11:01:19,"00:25:13 (-1)",,(-2),,,00:50:58,"00:17:22 (-1)","02:11:20 (-2)",,"00:53:59 (-2)","02:42:27 (-5)",
174,"team161 山东理工大学",6,11:01:37,"04:02:07 (-3)",,"03:16:22 (-2)",,,00:26:33,00:12:29,,,00:17:24,01:06:42,
175,"team666 长春理工大学",6,11:04:15,00:36:25,,"03:34:43 (-1)",,,00:35:05,"00:14:25 (-1)",,,"00:22:41 (-1)","02:40:56 (-6)",
176,"team944 北京科技大学",6,11:11:34,"02:06:33 (-2)",,02:36:08,,,00:48:20,"00:27:44 (-3)",,,00:18:52,"01:13:57 (-6)",
177,"team803 哈尔滨工业大学",6,11:15:31,"00:51:56 (-1)",,"04:08:39 (-5)",,,"00:49:15 (-1)","00:22:50 (-2)",(-2),,"00:20:29 (-1)",01:22:22,
178,"team943 北京科技大学",6,11:16:07,"01:34:49 (-4)",,02:33:29,,,"01:00:39 (-1)","00:19:51 (-1)",,,00:11:22,"02:55:57 (-2)",
179,"team964 浙江师范大学",6,11:19:52,01:14:33,,04:11:05,,,01:20:09,00:08:38,,,"00:12:27 (-1)","02:53:00 (-3)",
180,"team884 河海大学",6,11:21:52,"00:41:45 (-1)",,(-6),,,00:36:35,"00:20:59 (-4)","03:59:26 (-6)",,00:23:17,01:39:50,
181,"team858 华中科技大学",6,11:28:36,02:24:39,,"03:47:35 (-2)",,,00:55:23,"00:25:44 (-3)",,,00:38:18,01:36:57,
182,"team314 北京邮电大学",6,11:28:50,01:17:31,,03:59:05,,,00:56:46,"00:23:08 (-1)",,,"00:16:58 (-1)","02:55:22 (-3)",
183,"team272 北京理工大学",6,11:29:04,"02:39:27 (-4)",,"03:17:09 (-1)",,,"01:17:19 (-1)","00:26:20 (-2)",,,00:17:20,00:51:29,
184,"team211 浙江理工大学",6,11:33:36,"02:24:44 (-4)",,03:29:38,,,00:51:44,"00:17:04 (-1)",,,00:27:30,"02:02:56 (-1)",
185,"team319 北京邮电大学",6,11:33:41,00:56:29,,"02:51:14 (-1)",,,"01:36:00 (-2)","00:35:12 (-1)",,,"00:08:57 (-1)","02:45:49 (-3)",(-3)
186,"team298 南方科技大学",6,11:41:04,"02:06:54 (-7)",,"03:09:34 (-1)",,,00:40:19,00:25:47,(-7),,00:21:48,"01:36:42 (-2)",
187,"team417 湘潭大学",6,11:53:39,"00:50:55 (-1)",,(-1),,,"00:57:37 (-1)","00:25:04 (-3)","03:44:24 (-1)",,00:20:19,"01:55:20 (-5)",
188,"team822 南京邮电大学",6,12:06:54,00:27:01,,03:33:15,,,00:20:37,"00:29:52 (-1)",,,00:24:26,"02:51:43 (-11)",
189,"team449 西安电子科技大学",6,12:12:28,"01:09:40 (-1)",,03:30:50,,,01:08:29,"00:20:02 (-1)",,,"00:28:45 (-3)","02:14:42 (-5)",(-1)
190,"team699 湖南城市学院",6,12:14:13,"01:50:49 (-2)",,"02:24:01 (-1)",,,"00:38:49 (-1)","00:23:06 (-2)",,,00:14:18,"02:43:10 (-6)",
191,"team879 复旦大学",6,12:16:11,"01:56:52 (-3)",,,,,00:49:33,"00:17:48 (-1)","03:31:52 (-1)",,00:22:49,"02:17:17 (-4)",(-2)
192,"team1028 广东工业大学",6,12:17:06,02:01:02,,"04:07:36 (-3)",,,00:55:45,"00:39:22 (-2)",02:29:34,,00:23:47,,(-1)
193,"team758 武汉科技大学",6,12:18:43,"03:11:41 (-3)","03:53:56 (-2)",,,,00:56:00,"00:33:52 (-2)",,,00:17:36,01:05:38,(-1)
194,"team154 清华大学附属中学",6,12:22:39,"00:45:15 (-2)",,"02:49:11 (-2)",,,01:13:39,00:16:23,(-7),,00:20:11,"03:58:00 (-5)",(-1)
195,"team740 南昌航空大学",6,12:24:10,"01:53:32 (-4)",,"02:39:44 (-1)",,,"00:58:31 (-1)","00:38:39 (-1)",,,00:22:14,"01:31:30 (-6)",
196,"team253 成都理工大学",6,12:25:47,02:24:37,,03:31:15,,,"02:06:25 (-2)",00:22:48,,,00:28:35,02:52:07,
197,"team479 长沙市长郡中学",6,12:28:00,"01:15:48 (-2)",,(-3),,,00:56:35,"00:13:45 (-3)","03:33:15 (-3)",,01:09:11,"01:59:26 (-2)",
198,"team770 上海大学",6,12:29:02,"02:21:14 (-5)",,"03:29:31 (-2)",,,00:31:56,"00:11:42 (-1)",,,00:29:23,"02:25:16 (-1)",
199,"team812 重庆市育才中学",6,12:48:53,01:15:55,(-1),"02:59:39 (-2)",,,"01:14:53 (-3)","00:16:01 (-1)",,,00:17:38,"01:44:47 (-9)",(-2)
200,"team271 北京理工大学",6,12:53:25,"02:20:33 (-2)",,,,,01:00:38,00:33:28,"03:05:45 (-5)",,00:26:40,"02:06:21 (-3)",
201,"team854 华中科技大学",6,12:59:28,"02:29:03 (-2)",,03:27:21,,,"01:11:10 (-1)",00:21:27,,,00:17:09,"02:33:18 (-5)",
202,"team704 中南大学",6,13:00:15,"01:22:21 (-1)",,03:03:49,,,01:01:14,"00:20:08 (-3)",,,00:08:37,"03:44:06 (-6)",
203,"team632 南阳理工学院",6,13:00:46,"02:14:36 (-5)",,04:10:25,,,00:40:18,00:11:49,,,00:19:21,03:44:17,
204,"team1030 金陵中学河西分校",6,13:00:55,"00:23:33 (-1)",,"03:06:40 (-2)",,,00:36:14,"00:30:22 (-1)",,,00:30:46,"03:13:20 (-10)",
205,"team252 成都理工大学",6,13:03:09,01:44:38,,03:45:41,,,01:07:05,"00:27:20 (-1)",,,"00:50:47 (-3)","02:47:38 (-3)",
206,"team644 南京信息工程大学",6,13:14:35,"01:40:23 (-1)",,"04:07:15 (-1)",,,01:10:49,"00:29:33 (-1)",,,"00:14:51 (-2)","03:11:44 (-2)",
207,"team559 上海师范大学",6,13:25:03,"02:37:18 (-5)",,03:35:43,,,02:19:28,"00:10:07 (-1)",,,"00:17:51 (-1)","01:04:36 (-3)",
208,"team166 北京林业大学",6,13:32:19,"03:44:58 (-7)",,"04:08:58 (-1)",,,00:29:02,00:15:28,,,00:20:50,01:53:03,
209,"team651 西南科技大学",6,13:33:26,"02:12:00 (-9)",,01:15:32,,,"01:48:16 (-2)","00:24:30 (-6)",,,00:11:50,02:01:18,
210,"team960 浙江师范大学",6,13:33:47,00:40:15,,"03:53:30 (-18)",,,00:53:52,00:24:50,,,"00:17:50 (-1)",01:03:30,
211,"team514 浙江科技大学",6,13:47:46,"02:05:26 (-2)",,04:03:18,,,01:30:34,"00:37:56 (-6)",,,00:23:03,02:27:29,
212,"team035 中国传媒大学",6,14:09:37,"02:53:45 (-1)",,01:43:19,,,01:23:05,"00:34:01 (-1)",,,"00:23:08 (-1)","03:52:19 (-7)",
213,"team056 东北大学",6,14:17:15,"02:19:16 (-3)",,,,,01:25:35,00:11:36,"04:06:51 (-3)",,"00:29:22 (-2)","01:24:35 (-5)",
214,"team824 南京邮电大学",6,14:31:03,"01:48:26 (-2)",,03:48:45,,,01:13:10,"00:48:56 (-4)",,,"00:26:29 (-2)","03:05:17 (-2)",
215,"team1025 贵州大学",6,14:35:38,"02:02:18 (-1)",,"04:01:27 (-12)",,,00:45:31,"00:27:30 (-3)",,,00:24:32,01:34:20,
216,"team955 杭州第二中学",6,14:51:34,"01:44:39 (-2)",,,,,00:43:01,"01:01:28 (-4)",03:28:34,,"01:18:59 (-2)",03:54:53,
217,"team347 南京大学",6,15:06:57,03:39:59,,03:35:55,,,"02:12:01 (-8)",00:28:39,,,00:14:50,"01:35:33 (-2)",
218,"team877 复旦大学",6,15:15:19,"02:56:10 (-2)","03:51:18 (-4)",,,,00:45:06,"00:27:51 (-2)",,,00:50:38,"03:04:16 (-2)",
219,"team266 北京理工大学",6,15:18:54,"02:15:17 (-2)",,"04:03:50 (-7)",,,"01:28:00 (-4)","00:44:40 (-2)",,,"00:52:46 (-1)",00:34:21,
220,"team031 中国传媒大学",6,15:24:30,"02:27:25 (-1)",,"03:24:32 (-1)",,,"01:45:30 (-1)","00:57:59 (-3)",,(-1),00:27:27,"03:41:37 (-2)",
221,"team109 南京外国语学校",6,15:28:18,"03:36:44 (-1)",(-3),"02:26:02 (-2)",,,00:27:40,"00:12:49 (-1)",,,"00:20:19 (-1)","03:24:44 (-10)",(-1)
222,"team869 香港大学",6,15:41:52,,,02:52:17,,,02:44:46,"02:02:01 (-2)",03:30:49,,01:38:40,"01:53:19 (-1)",
223,"team968 香港科技大学（广州）",6,15:54:19,"01:23:01 (-5)",,"03:43:48 (-7)",,(-1),00:46:43,"00:14:00 (-2)",,,01:57:49,03:08:58,
224,"team107 南京外国语学校",6,15:55:34,"03:10:21 (-1)",,,,,"00:36:38 (-2)","00:47:33 (-1)",,,"00:18:37 (-2)","02:43:04 (-4)","03:19:21 (-5)"
225,"team544 哈尔滨工业大学（威海）",6,16:06:04,"02:32:23 (-2)",,"03:22:07 (-3)",,,"02:02:03 (-1)","01:13:43 (-1)",,,00:57:24,"03:18:24 (-1)",(-1)
226,"team490 山东省烟台市第二中学",6,16:12:37,"01:16:36 (-2)",,,,,00:58:04,"00:46:35 (-1)",,,"00:38:26 (-1)","03:15:14 (-6)","03:57:42 (-6)"
227,"team315 北京邮电大学",6,16:18:44,"02:21:23 (-1)",,02:59:21,,,00:53:00,"01:06:37 (-4)",,,00:16:26,"03:41:57 (-10)",
228,"team348 南京大学",6,16:19:56,"01:27:28 (-1)",,"02:32:14 (-1)",,,"03:08:17 (-1)",01:03:35,(-3),,"01:17:52 (-1)","04:10:30 (-4)",(-2)
229,"team428 中国矿业大学",6,16:48:54,"01:53:40 (-1)",,"03:57:54 (-4)",,,"02:47:45 (-5)","00:53:14 (-1)",,(-2),"00:22:19 (-1)","01:34:02 (-4)",
230,"team418 湘潭大学",6,17:06:02,"02:52:15 (-4)",,"04:06:37 (-3)",,,01:27:47,"01:08:21 (-1)",,,01:07:30,"03:23:32 (-1)",
231,"team631 南阳理工学院",6,17:23:41,"01:44:33 (-7)",,"04:08:59 (-1)",,,01:07:30,00:13:40,,,"00:19:29 (-2)","03:49:30 (-8)",
232,"team550 华南师范大学",6,17:37:09,02:26:10,,00:33:43,,,01:28:58,"00:24:50 (-3)",(-1),,"00:49:58 (-2)","03:53:30 (-19)",
233,"team108 南京外国语学校",6,18:04:27,"03:29:11 (-8)",,"03:17:02 (-9)",,,"01:01:27 (-2)","00:07:12 (-1)",,,00:11:40,"02:57:55 (-1)",
234,"team795 香港科技大学（广州）",6,19:06:31,"02:41:07 (-2)",,03:57:03,,,"01:45:38 (-1)","00:42:45 (-5)",,,00:17:44,"03:42:14 (-10)",
235,"team811 重庆市育才中学",6,20:04:55,"02:14:26 (-5)",,(-1),,,00:56:45,"00:50:50 (-3)",,,"00:33:55 (-4)","03:18:57 (-6)","03:50:02 (-7)"
236,"team737 余姚中学",6,20:31:14,02:23:07,(-2),"03:58:08 (-5)",,,"02:16:10 (-1)","01:47:43 (-1)",,,01:43:12,"03:42:54 (-7)",
237,"team905 北京大学",5,02:03:43,00:51:29,,,,,00:32:26,00:06:58,,,00:10:00,00:22:50,
238,"team092 长沙理工大学",5,02:57:06,00:52:18,,,,,00:26:38,00:09:57,,,00:11:14,01:16:59,(-2)
239,"team957 杭州第二中学",5,03:48:26,"01:18:40 (-1)",,(-7),,,00:53:40,00:22:37,,,00:07:41,00:45:48,(-1)
240,"team549 武汉纺织大学",5,04:11:44,"00:54:23 (-1)",,(-4),,,00:52:54,"00:11:26 (-1)",,,00:10:54,01:22:07,
241,"team961 浙江师范大学",5,04:20:01,"01:20:30 (-1)",,,,,00:49:49,"00:17:51 (-1)",,,00:15:07,00:56:44,
242,"team562 重庆大学",5,04:47:46,"00:41:29 (-1)",,(-2),,,00:56:28,"00:21:29 (-1)",(-2),,00:17:08,01:51:12,
243,"team692 华东师范大学",5,04:49:56,01:29:36,,,,,00:43:43,00:20:07,(-4),,00:08:28,"01:48:02 (-1)",
244,"team492 中国民航大学",5,04:50:19,01:13:38,,(-1),,,00:39:33,00:15:36,,,00:23:51,02:17:41,
245,"team309 北京邮电大学",5,05:05:21,"01:12:18 (-2)",,(-4),,,00:35:09,00:11:39,,,00:19:46,"01:46:29 (-1)",
246,"team537 电子科技大学",5,05:08:51,00:42:12,,(-3),,,00:54:23,"00:11:18 (-1)",,,"00:18:11 (-1)","01:42:47 (-2)",
247,"team064 浙江工业大学",5,05:10:06,"00:58:48 (-2)",,,,,01:02:32,00:30:37,,,00:15:50,01:42:19,(-2)
248,"team752 华中师范大学",5,05:17:43,01:31:28,,,,,00:44:56,00:17:37,,,00:24:25,02:19:17,
249,"team270 北京理工大学",5,05:18:41,"01:31:52 (-2)",,(-1),,,00:44:30,00:16:14,,,00:19:01,01:47:04,
250,"team155 清华大学附属中学",5,05:26:16,"02:28:52 (-1)",,,,,00:47:20,00:20:04,,,00:11:12,01:18:48,
251,"team192 广东工业大学",5,05:30:56,"01:31:41 (-2)",(-1),,,,00:35:21,00:17:27,,,00:22:09,"01:44:18 (-1)",
252,"team962 浙江师范大学",5,05:31:00,"01:51:02 (-1)",(-4),,,,00:43:03,00:24:08,,,00:12:51,"01:39:56 (-1)",
253,"team442 杭州师范大学",5,05:33:27,"01:59:06 (-1)",,,,,00:51:20,00:15:02,,,00:20:18,"01:27:41 (-1)",
254,"team200 江西财经大学",5,05:34:21,"00:53:26 (-1)",,,,,00:44:22,"00:15:59 (-1)",,,"00:11:04 (-1)","01:49:30 (-2)",
255,"team720 吉林大学",5,05:36:51,"01:51:39 (-5)",,(-3),,,00:31:03,00:16:44,,,00:08:14,"00:49:11 (-1)",
256,"team529 厦门大学",5,05:38:03,"00:36:39 (-1)",,,,,00:59:05,"00:33:25 (-1)",,,00:51:37,01:57:17,
257,"team205 苏州大学",5,05:38:39,"01:22:39 (-1)",,,,,00:56:51,00:18:47,,,"00:23:00 (-1)",01:57:22,
258,"team172 湖南师范大学",5,05:41:27,01:25:18,,(-1),,,01:04:44,"00:49:11 (-1)",,,00:21:58,01:40:16,
259,"team397 安徽大学",5,05:45:42,01:31:02,,,,,00:52:57,"00:17:05 (-1)",,,00:18:36,02:26:02,(-1)
260,"team1036 武汉大学",5,06:05:16,"01:38:32 (-1)",,(-1),,,00:47:21,00:18:36,,,"00:23:46 (-1)","01:57:01 (-1)",
261,"team648 西南科技大学",5,06:08:17,00:53:57,,,,,00:49:44,"00:11:42 (-1)",,,"00:16:29 (-1)","01:56:25 (-4)",
262,"team227 成都信息工程大学",5,06:21:53,"02:11:24 (-1)",,,,,00:45:04,"00:20:38 (-1)",,,00:11:51,"01:52:56 (-1)",
263,"team512 浙江科技大学",5,06:23:16,"01:17:38 (-1)",,,,,00:58:38,"00:19:54 (-1)",,,00:15:21,"02:11:45 (-2)",
264,"team186 广东工业大学",5,06:23:39,01:57:39,,02:23:49,,,01:05:00,00:18:08,(-2),,00:39:03,(-3),
265,"team949 华东理工大学",5,06:30:20,01:18:27,,,,,00:51:43,"00:24:06 (-1)",(-2),,00:13:20,"03:02:44 (-1)",
266,"team175 莆田学院",5,06:31:02,"01:49:43 (-1)",,(-3),,,00:39:53,"00:31:15 (-1)",,,00:08:57,"02:21:14 (-1)",
267,"team533 电子科技大学",5,06:33:08,01:16:01,,,,,"00:45:23 (-1)",00:13:40,,,"00:22:18 (-1)","01:55:46 (-4)",
268,"team150 武汉大学",5,06:34:04,"01:40:36 (-2)",,(-5),,,"00:47:46 (-1)",00:23:56,(-4),,00:26:41,"01:55:05 (-1)",
269,"team899 四川大学",5,06:38:37,"02:17:19 (-2)",,,,,00:45:54,"00:18:37 (-2)",,,00:06:59,01:49:48,
270,"team862 华中科技大学",5,06:41:09,02:24:26,,(-1),,,01:04:38,"00:36:42 (-1)",,,00:23:21,01:52:02,
271,"team661 北方工业大学",5,06:41:17,"01:05:58 (-4)",,,,,00:29:47,00:02:19,(-4),,"00:17:24 (-1)","01:25:49 (-5)",(-2)
272,"team306 北京邮电大学",5,06:42:00,"02:25:12 (-2)",,(-1),,,00:46:12,00:12:33,,,00:21:38,"01:36:25 (-2)",(-1)
273,"team246 中国计量大学",5,06:42:15,"01:23:29 (-3)",,,,,00:54:17,00:10:22,,,"00:12:30 (-1)",02:41:37,
274,"team561 重庆大学",5,06:43:35,"00:47:00 (-1)",,(-1),,,00:57:21,"00:14:36 (-1)",,,00:10:26,"02:34:12 (-4)",
275,"team714 吉林大学",5,06:44:18,"01:59:17 (-1)",,,,,01:08:56,"00:21:10 (-1)",(-2),,00:09:36,02:25:19,
276,"team213 浙江理工大学",5,06:44:36,"01:15:30 (-6)",,(-4),,,00:31:02,"00:16:04 (-3)",,,00:11:31,01:30:29,
277,"team245 中国计量大学",5,06:46:10,"02:00:01 (-5)",,(-4),,,00:35:11,00:17:06,,,00:12:24,02:01:28,
278,"team446 西安电子科技大学",5,06:46:48,"01:19:20 (-1)",(-1),(-2),,,00:33:53,"00:24:20 (-3)",,,"00:36:08 (-2)",01:53:07,(-1)
279,"team152 清华大学附属中学",5,06:49:12,"01:05:57 (-3)",,(-4),,,00:36:01,"00:09:22 (-1)",,,"00:23:59 (-1)","01:13:53 (-5)",(-5)
280,"team401 哈尔滨理工大学",5,06:50:07,01:30:24,,,,,01:03:18,"00:11:46 (-2)",,,00:19:30,03:05:09,
281,"team965 浙江师范大学",5,06:50:48,01:17:48,,(-1),,,00:55:27,"00:16:51 (-1)",,,00:23:49,"02:56:53 (-2)",
282,"team276 浙江工商大学",5,06:55:05,00:44:38,,,,,"01:25:07 (-2)","00:19:31 (-1)",,,00:16:40,"02:29:09 (-2)",
283,"team541 北京交通大学",5,06:56:22,"01:54:06 (-2)",,(-1),,,00:48:04,"00:26:00 (-1)",(-5),,"00:36:26 (-2)","01:11:46 (-1)",(-1)
284,"team053 东北大学",5,06:56:43,"02:26:11 (-5)",,,,,00:51:49,00:14:38,,,00:11:58,01:32:07,
285,"team974 天津大学",5,06:56:46,"02:27:46 (-2)",,,,,01:16:41,00:19:27,,,00:14:04,"01:38:48 (-1)",(-2)
286,"team188 广东工业大学",5,06:56:53,"01:32:01 (-2)",,,,,00:46:45,00:27:16,,,00:23:46,03:07:05,
287,"team162 山东理工大学",5,06:56:57,"01:34:39 (-2)",,,,,"00:41:37 (-1)","00:32:40 (-1)",,,00:19:01,02:29:00,
288,"team912 广西大学",5,07:01:06,"02:20:17 (-3)",,,,,00:49:18,00:19:54,,,"00:08:35 (-1)",02:03:02,
289,"team497 中国民航大学",5,07:01:29,"02:33:39 (-1)",,,,,01:12:23,00:12:57,,,"00:12:37 (-1)","01:49:53 (-1)",
290,"team757 长春理工大学",5,07:03:42,01:15:16,,,,,01:00:25,"00:37:46 (-2)",,,00:14:23,"02:35:52 (-2)",
291,"team372 浙大城市学院",5,07:04:21,"02:48:42 (-3)",,,,,00:46:39,00:17:52,,,00:22:06,01:49:02,
292,"team222 大连海事大学",5,07:07:49,01:59:31,,,,,00:55:39,00:16:49,,,"00:25:28 (-2)",02:50:22,
293,"team409 厦门双十中学",5,07:09:55,"01:51:25 (-2)",,,,,"01:32:29 (-1)","00:29:59 (-3)",(-2),,00:23:01,"00:33:01 (-1)",
294,"team013 华东师范大学",5,07:10:34,"01:26:52 (-2)",,,,,"00:47:38 (-1)","00:28:01 (-1)",,,00:17:54,"02:10:09 (-2)",
295,"team976 天津大学",5,07:10:43,02:24:06,,,,,01:19:31,00:15:00,,,00:18:56,"02:33:10 (-1)",
296,"team659 重庆工程学院",5,07:11:41,02:32:26,,,,,"00:59:24 (-1)","00:12:21 (-1)",,,"00:24:07 (-1)",02:03:23,(-2)
297,"team815 重庆市育才中学",5,07:12:56,"02:38:03 (-3)",,(-6),,,02:26:59,"00:11:18 (-1)",,,00:16:16,00:20:20,
298,"team419 湘潭大学",5,07:13:21,"03:05:56 (-2)",,,,,00:36:50,"00:42:44 (-1)",,,00:15:09,01:32:42,
299,"team229 天津仁爱学院",5,07:16:53,"01:56:50 (-3)",,(-3),,,01:13:40,00:16:51,,,"00:23:13 (-2)","01:26:19 (-1)",
300,"team959 深圳北理莫斯科大学附属实验中学",5,07:22:29,01:19:41,,(-8),,,"00:40:40 (-1)","00:14:49 (-1)",,,"00:21:09 (-2)",03:26:10,(-1)
301,"team334 南京理工大学",5,07:22:44,01:14:10,,(-2),,,00:55:37,"00:23:47 (-2)",,,"00:37:04 (-1)","02:32:06 (-2)",
302,"team400 安徽大学",5,07:22:53,(-3),,01:40:19,,,02:31:54,"00:26:51 (-1)",,,00:15:07,"01:28:42 (-2)",
303,"team321 中国地质大学（北京）",5,07:27:53,"02:28:56 (-2)",,,,,01:32:27,00:08:44,,,"00:23:14 (-2)","01:14:32 (-1)",
304,"team1035 浙江师范大学",5,07:29:58,"01:38:33 (-1)",,,,,01:19:12,00:22:18,,,00:17:48,"03:12:07 (-1)",
305,"team602 郑州轻工业大学",5,07:30:23,"01:47:48 (-1)",,,,,00:46:59,"00:18:08 (-1)",,,"00:25:24 (-1)","02:52:04 (-1)",
306,"team420 湘潭大学",5,07:33:42,"02:19:09 (-3)",,(-2),,,"00:45:02 (-1)",00:13:23,,,00:21:52,02:34:16,
307,"team658 南通大学",5,07:34:27,"01:40:54 (-1)",,,,,00:59:55,"00:17:10 (-1)",,,00:16:13,"03:00:15 (-2)",
308,"team530 厦门大学",5,07:35:39,"01:58:54 (-2)",,,,,01:34:29,00:12:55,,,00:19:54,"02:29:27 (-1)",(-4)
309,"team875 复旦大学",5,07:37:32,"01:20:54 (-1)",,,,,00:31:05,00:12:57,,,00:22:30,"03:50:06 (-3)",
310,"team733 天津工业大学",5,07:42:37,01:35:40,,,,,00:50:47,00:11:25,,,"00:14:45 (-1)","03:10:00 (-4)",
311,"team344 南京大学",5,07:44:14,"01:35:18 (-2)",,,,,"02:06:45 (-1)",00:21:52,,,00:37:14,"01:23:05 (-2)",
312,"team325 中国地质大学（北京）",5,07:46:45,01:07:09,,,,,00:38:09,"00:21:37 (-3)",,,"00:11:24 (-1)","02:08:26 (-6)",
313,"team705 中南大学",5,07:48:01,"01:27:39 (-4)",,,,,00:33:44,"00:11:05 (-1)",,,00:19:33,"01:56:00 (-5)",
314,"team310 北京邮电大学",5,07:52:30,(-7),,"04:04:53 (-1)",,,01:02:30,00:12:13,,,00:18:11,01:54:43,
315,"team163 山东理工大学",5,07:53:25,"02:28:52 (-4)",,,,,00:41:12,"00:16:12 (-1)",,,"00:23:42 (-1)",02:03:27,
316,"team567 重庆大学",5,07:56:10,02:05:09,,,,,01:16:32,"00:42:08 (-3)",,,00:28:19,02:24:02,
317,"team146 武汉大学",5,08:01:48,(-6),,"03:20:27 (-1)",,,"00:59:38 (-2)","00:12:02 (-1)",,,00:15:23,"01:34:18 (-1)",
318,"team256 东华大学",5,08:01:58,"01:09:41 (-2)",,,,,00:57:46,"00:11:58 (-1)",,,"00:21:30 (-3)","02:01:03 (-4)",
319,"team581 福州大学",5,08:02:01,"02:34:27 (-1)",,,,,00:58:36,"00:47:14 (-1)",,,00:52:03,"01:49:41 (-1)",
320,"team841 南京大学",5,08:02:48,,,"03:52:08 (-1)",,,01:04:09,00:13:26,,,00:19:55,02:13:10,(-1)
321,"team057 东北大学",5,08:03:24,"01:29:03 (-4)",,(-2),,,01:12:49,"00:23:56 (-3)",(-6),,"00:20:49 (-1)",01:56:47,
322,"team973 天津大学",5,08:03:58,02:19:22,,,,,"01:03:52 (-1)","00:17:20 (-1)",,,00:17:14,"03:06:10 (-1)",
323,"team846 重庆移通学院",5,08:07:24,"01:47:14 (-1)",,04:10:18,,,01:22:53,00:09:52,,,00:17:07,(-6),
324,"team251 成都理工大学",5,08:08:32,"01:56:47 (-3)",,,,,01:04:33,"00:20:34 (-1)",,,00:27:04,02:59:34,
325,"team311 北京邮电大学",5,08:20:57,"03:00:36 (-3)",,,,,00:56:37,"00:26:30 (-1)",,,00:18:22,"01:58:52 (-1)",(-7)
326,"team335 天津理工大学",5,08:24:36,"01:09:31 (-3)",,(-11),,,"01:16:31 (-2)","00:13:18 (-1)",,,"00:29:31 (-2)","01:55:45 (-2)",
327,"team068 浙江工业大学",5,08:24:52,"02:12:45 (-2)",,,,,"00:54:53 (-1)","00:28:04 (-1)",,,"00:20:36 (-1)","02:08:34 (-2)",
328,"team573 哈尔滨工程大学",5,08:27:44,"03:30:07 (-5)",,,,,00:37:23,00:17:32,,,"00:12:26 (-1)","01:30:16 (-1)",
329,"team368 长沙市雅礼中学",5,08:29:18,"01:29:55 (-2)",,,,,00:52:40,00:25:47,,,00:28:32,"02:52:24 (-5)",
330,"team149 郑州大学",5,08:33:22,"02:28:20 (-3)",,,,,00:57:14,00:19:51,,,"00:10:40 (-1)",03:17:17,
