Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
32,"team620 绍兴一中",8,15:37:50,"01:49:21 (-2)","02:58:02 (-2)",(-3),,,"00:30:00 (-1)","00:18:45 (-1)",03:53:24,,00:16:04,00:48:29,"02:03:45 (-3)"
33,"team802 哈尔滨工业大学",8,15:50:34,00:55:10,"03:31:20 (-2)",01:48:51,,,00:34:54,"00:38:47 (-6)","02:18:50 (-4)",,"00:16:26 (-2)",01:06:16,(-2)
34,"team105 南京外国语学校",8,15:54:09,"02:41:16 (-3)","04:06:10 (-3)","03:15:00 (-1)",,,00:27:35,"00:09:10 (-2)",(-4),,00:11:47,"00:46:57 (-1)",00:56:14
35,"team682 南京大学",8,16:13:36,"00:34:51 (-2)","02:58:47 (-2)","01:56:36 (-2)",,,00:34:30,"00:21:56 (-1)","01:35:26 (-1)",,00:10:59,"03:20:31 (-6)",
36,"team970 天津大学",8,16:42:31,"01:53:46 (-3)","03:54:18 (-6)",01:10:13,,,01:01:39,00:22:42,03:58:23,,00:06:13,"00:35:17 (-2)",(-2)
37,"team717 吉林大学",8,16:45:10,"01:09:08 (-3)",,01:39:39,,,00:47:12,"00:35:38 (-6)",03:43:44,,"00:14:51 (-2)","02:12:12 (-1)",02:22:46
38,"team264 北京理工大学",8,16:56:36,01:13:57,03:59:11,"03:25:19 (-3)",,,01:03:02,"00:23:01 (-2)","02:43:41 (-4)",,00:20:45,"00:27:40 (-1)",
39,"team369 长沙市雅礼中学",8,18:49:06,"01:20:33 (-2)","03:56:47 (-3)",,,,00:29:02,"00:12:53 (-1)","03:41:44 (-1)",,"00:14:04 (-1)","00:57:08 (-3)","02:36:55 (-5)"
40,"team845 四川省成都市第七中学",8,28:33:10,"01:58:58 (-3)","03:52:52 (-10)",(-2),,,00:39:34,"00:27:18 (-3)",03:57:03,,"00:54:41 (-3)",01:47:17,"03:15:27 (-16)"
41,"team739 上海市曹杨第二中学",7,08:05:48,"01:39:08 (-2)",,02:42:45,(-1),,00:48:50,"00:14:31 (-1)",(-1),,00:13:55,00:45:59,00:40:40
42,"team702 中南大学",7,08:25:32,00:18:12,,01:51:18,,,00:36:13,00:19:40,03:53:30,,00:22:10,01:04:29,
43,"team750 南京理工大学",7,08:39:11,"00:40:20 (-1)",,01:21:28,,,00:50:29,00:22:47,02:41:17,,00:15:29,"01:27:21 (-2)",(-2)
44,"team571 深圳中学",7,08:40:57,00:48:29,,02:41:48,,,00:27:46,00:14:42,01:51:36,,"00:14:38 (-1)","01:01:58 (-3)",(-1)
45,"team333 同济大学",7,08:42:37,00:57:05,"01:53:40 (-1)",(-2),,,00:22:04,"00:07:46 (-1)",02:44:29,,"00:21:10 (-3)",00:36:23,
46,"team906 大连理工大学",7,09:29:43,"01:00:38 (-1)",,01:34:47,,,01:16:07,00:27:19,03:17:12,,00:14:53,"00:58:47 (-1)",
47,"team297 南方科技大学",7,09:52:22,"01:01:29 (-1)",02:29:16,02:00:14,,,00:35:09,"00:13:27 (-1)",,,"00:47:03 (-2)","00:45:44 (-2)",(-1)
